"Org",          "Name",                 "Active",   "Comment"
"TUM",          "VirtualCoffeeMachineHTTP1-16", "yes", "Simulation with random responses. 16 instances with HTTP. Live TD at http://129.187.45.174:8080/Virtual-Coffee-Machine_1_1"
"TUM",          "VirtualCoffeeMachineCoAP1-16", "yes", "Simulation with random responses. 16 instances with CoAP. Live TD at coap://129.187.45.174:5683/Virtual-Coffee-Machine_2_1"
"TUM",          "SenseHAT1-4",          "yes",      "4 identical devices. Desk 1"
"TUM",          "UnicornPHat1-2",       "yes",      "2 identical devices. Desk 1"
"TUM",          "RainbowHAT1-2",        "yes",      "2 identical devices. Desk 1"
"TUM",          "PanTiltHat1-2",        "yes",      "2 identical devices. Desk 1"
"TUM",          "HueColorLight1-2",     "yes",      "2 identical devices. Desk 1"
"TUM",          "HueIndoorSensor1-2",   "yes",      "2 identical devices. Desk 1"
"TUM",          "HueOutdoorSensor",     "yes",      "Pointing at Desk 1"
"TUM",          "HueDimmerSwitch",      "yes",      "Needs human interaction"
"TUM",          "HueDaylight",          "yes",      "Software-based"
"TUM",          "ConveyorBelt1-2",      "yes",      "2 identical devices. Desk 2"
"TUM",          "InfraredSensor1-2",      "yes", "2 identical devices. Desk 2. Needs a cube in front of it to emit events"
"TUM",          "ConveyorBelt1-2",        "yes", "2 identical devices. Desk 2. Needs to be stopped"
"TUM",          "DobotMagician",          "yes", "Slow initial response. Preprogrammed locations Desk 2"
"TUM",          "Uarm",                   "yes", "Freedom of movement (double edged sword). Desk 2"
"Hitachi",      "myRasPiLED",             "yes",
"Intel",        "intel-camera",           "no",  "web camera (still images only, supports cropping)"
"Intel",        "intel-speak",            "no",  "text to speech interface (English)"
"Intel",        "intel-inference",        "no",  "object recognition service (yolo)"
"Intel",        "Intel-OCF-button1touch", "no",  "OCF 1.1 push button (binary input)"
"Intel",        "Intel-OCF-button2touch", "no",  "OCF 1.1 push button (binary input)"
"Intel",        "Intel-OCF-buzzer0",      "no",  "OCF 1.1 buzzer (binary output)"
"Intel",        "Intel-OCF-illuminance0", "no",  "OCF 1.1 illuminance sensor (scalar input)"
"Intel",        "Intel-OCF-illuminance2", "no",  "OCF 1.1 illuminance sensor (scalar input)"
"Intel",        "Intel-OCF-led0blue",     "no",  "OCF 1.1 indicator LED (binary output)"
"Intel",        "Intel-OCF-led0green",    "no",  "OCF 1.1 indicator LED (binary output)"
"Intel",        "Intel-OCF-led0mosfet",   "no",  "OCF 1.1 bright external LED driven by MOSFET (binary output)"
"Intel",        "Intel-OCF-led0red",      "no",  "OCF 1.1 indicator LED (binary output)"
